NCBI Accession,type,proportion,number of bp
NZ_CP022000.1,prokaryote,7.54E-06,150.874432
NZ_CP022001.1,prokaryote,9.56E-06,191.2555299
NZ_CP022002.1,prokaryote,2.31E-05,462.163885
NZ_CP022003.1,prokaryote,2.20E-06,43.9310846
NZ_CP022005.1,prokaryote,3.41E-05,681.1536855
NZ_CP022006.1,prokaryote,2.90E-05,579.3134439
NZ_CP022014.1,prokaryote,5.66E-07,11.3155824
NZ_CP022020.1,prokaryote,8.40E-06,167.9587426
NZ_CP022022.1,prokaryote,0.000212345,4246.893386
NZ_CP022023.1,prokaryote,6.49E-06,129.7963863
NZ_CP022034.1,prokaryote,1.35E-05,270.0208584
NZ_CP022040.1,prokaryote,0.00025013,5002.596791
NZ_CP022041.1,prokaryote,0.000230527,4610.545142
NZ_CP022076.1,prokaryote,2.01E-05,402.7016089
NZ_CP022077.1,prokaryote,5.85E-06,116.9276848
NZ_CP022079.1,prokaryote,9.51E-06,190.1461591
NZ_CP022080.1,prokaryote,1.19E-05,237.6272303
NZ_CP022098.1,prokaryote,0.00014119,2823.792494
NZ_CP022099.1,prokaryote,2.58E-05,516.7449295
NZ_CP022100.1,prokaryote,1.54E-05,308.8488372
NZ_CP022101.1,prokaryote,3.49E-05,698.4598703
NZ_CP022102.1,prokaryote,1.09E-05,217.6585555
NZ_CP022103.1,prokaryote,4.07E-05,814.9438068
NZ_CP022104.1,prokaryote,1.92E-05,383.6204307
NZ_CP022106.1,prokaryote,0.000212467,4249.334002
NZ_CP022110.1,prokaryote,4.11E-05,821.8219059
NZ_CP022111.1,prokaryote,4.63E-05,925.4371408
NZ_CP022112.1,prokaryote,2.49E-05,498.3293738
NZ_CP022113.1,prokaryote,1.28E-05,255.3771635
NZ_CP022115.1,prokaryote,8.48E-05,1695.340492
NZ_CP022116.1,prokaryote,6.57E-06,131.3495055
NZ_CP022117.1,prokaryote,1.88E-05,376.9642058
NZ_CP022120.1,prokaryote,0.000104447,2088.94526
NZ_CP022121.1,prokaryote,0.000261235,5224.692829
NZ_CP022122.1,prokaryote,8.93E-05,1786.974522
NZ_CP022123.1,prokaryote,0.000181138,3622.761361
NZ_CP022127.1,prokaryote,3.76E-06,75.21534182
NZ_CP022129.1,prokaryote,0.000178209,3564.186581
NZ_CP022130.1,prokaryote,9.70E-05,1940.733318
NZ_CP022132.1,prokaryote,0.000125703,2514.05616
NZ_CP022133.1,prokaryote,0.000112058,2241.150937
NZ_CP022135.1,prokaryote,3.28E-05,655.1944082
NZ_CP022138.1,prokaryote,1.09E-05,218.7679264
NZ_CP022139.1,prokaryote,5.74E-05,1147.976928
NZ_CP022142.1,prokaryote,3.18E-05,635.4476076
NZ_CP022148.1,prokaryote,3.19E-05,637.4444751
NZ_CP022151.1,prokaryote,3.51E-05,702.8973536
NZ_CP022154.1,prokaryote,1.34E-05,267.3583684
NZ_CP022163.1,prokaryote,0.000109994,2199.882343
NZ_CP022164.1,prokaryote,1.14E-05,227.8647671
NZ_CP022168.1,prokaryote,2.29E-06,45.70607792
NZ_CP022175.1,prokaryote,2.39E-05,477.9169507
NZ_CP022181.1,prokaryote,2.42E-05,484.3513015
NZ_CP022186.1,prokaryote,2.40E-05,480.5794407
NZ_CP022196.1,prokaryote,7.64E-05,1527.159875
NZ_CP022203.1,prokaryote,8.82E-05,1763.455861
NZ_CP022204.1,prokaryote,1.62E-06,32.39362804
NZ_CP022205.1,prokaryote,1.05E-06,21.07804564
NZ_CP022206.1,prokaryote,1.89E-05,377.8517024
NZ_CP022207.1,prokaryote,0.000128676,2573.518436
NZ_CP022223.1,prokaryote,7.25E-05,1449.947666
NZ_CP022247.1,prokaryote,6.78E-05,1355.87302
NZ_CP022263.1,prokaryote,1.39E-05,278.4520766
NZ_CP022267.1,prokaryote,1.48E-05,296.8676323
NZ_CP022270.1,prokaryote,9.20E-06,183.9336825
NZ_CP022272.1,prokaryote,9.84E-05,1967.136344
NZ_CP022273.1,prokaryote,4.99E-05,997.5462443
NZ_CP022278.1,prokaryote,0.000122696,2453.928261
NZ_CP022282.1,prokaryote,0.000398076,7961.51065
NZ_CP022287.1,prokaryote,2.77E-05,554.2416633
NZ_CP022315.1,prokaryote,0.00023492,4698.407311
NZ_CP022316.1,prokaryote,2.57E-05,514.9699362
NZ_CP022319.1,prokaryote,5.77E-05,1153.745656
NZ_CP022336.1,prokaryote,8.04E-05,1607.256449
NZ_CP022340.1,prokaryote,0.000124094,2481.884406
NZ_CP022341.1,prokaryote,1.25E-05,249.8303094
NZ_CP022345.1,prokaryote,4.87E-05,974.249457
NZ_CP022347.1,prokaryote,0.000133846,2676.911797
NZ_CP022348.1,prokaryote,2.90E-05,580.6446889
NZ_CP022352.1,prokaryote,1.82E-05,363.87363
NZ_CP022353.1,prokaryote,5.98E-05,1196.345496
NZ_CP022354.1,prokaryote,1.51E-05,302.4144864
NZ_CP022355.1,prokaryote,0.00011249,2249.80403
NZ_CP022356.1,prokaryote,7.78E-05,1555.559768
NZ_CP022358.1,prokaryote,0.000131793,2635.865076
NZ_CP022362.1,prokaryote,3.88E-07,7.765595763
NZ_CP022372.1,prokaryote,6.54E-05,1308.613823
NZ_CP022373.1,prokaryote,1.04E-05,207.0085956
NZ_CP022374.1,prokaryote,5.02E-05,1004.646218
NZ_CP022378.1,prokaryote,0.000224825,4496.501821
NZ_CP022379.1,prokaryote,0.000113677,2273.544565
NZ_CP022380.1,prokaryote,0.000109983,2199.660468
NZ_CP022381.1,prokaryote,0.000111936,2238.710321
NZ_CP022382.1,prokaryote,9.33E-05,1865.739851
NZ_CP022383.1,prokaryote,0.000267136,5342.729885
NZ_CP022384.1,prokaryote,0.000199576,3991.516222
NZ_CP022385.1,prokaryote,0.000159339,3186.778627
NZ_CP022386.1,prokaryote,0.000308782,6175.645499
NZ_CP022387.1,prokaryote,0.000310801,6216.026597
NZ_CP022388.1,prokaryote,0.000110038,2200.769839
NZ_CP022389.1,prokaryote,0.000104913,2098.263975
NZ_CP022392.1,prokaryote,6.66E-05,1331.688736
NZ_CP022393.1,prokaryote,1.82E-05,364.5392525
NZ_CP022394.1,prokaryote,9.27E-06,185.4868017
NZ_CP022407.1,prokaryote,9.58E-06,191.6992783
NZ_CP022409.1,prokaryote,2.12E-05,423.3359062
NZ_CP022412.2,prokaryote,0.010002165,200043.3
NZ_CP022413.2,prokaryote,0.001057685,21153.70473
NZ_CP022415.1,prokaryote,7.64E-05,1527.825498
NZ_CP022423.1,prokaryote,6.60E-05,1319.263783
NZ_CP022426.1,prokaryote,4.97E-05,993.5525093
NZ_CP022427.1,prokaryote,8.67E-05,1733.724723
NZ_CP022433.1,prokaryote,3.36E-05,671.1693481
NZ_CP022434.1,prokaryote,3.39E-05,678.2693214
NZ_CP022435.1,prokaryote,0.000142232,2844.648665
NZ_CP022436.1,prokaryote,7.89E-05,1578.634682
NZ_CP022437.1,prokaryote,0.000285164,5703.275403
NZ_CP022438.1,prokaryote,7.26E-05,1451.057037
NZ_CP022439.1,prokaryote,6.10E-06,122.0307906
NZ_CP022440.1,prokaryote,1.30E-05,260.7021435
NZ_CP022445.1,prokaryote,4.54E-05,907.6872076
NZ_CP022449.1,prokaryote,8.92E-05,1784.090158
NZ_CP022450.1,prokaryote,7.91E-06,158.1962794
NZ_CP022464.2,prokaryote,0.001686477,33729.53239
NZ_CP022467.1,prokaryote,5.01E-05,1002.871224
NZ_CP022470.1,prokaryote,1.49E-05,297.9770031
NZ_CP022472.1,prokaryote,9.34E-06,186.8180466
NZ_CP022473.1,prokaryote,1.88E-05,376.5204574
NZ_CP022474.1,prokaryote,6.05E-05,1210.101694
NZ_CP022475.1,prokaryote,2.57E-05,513.8605654
NZ_CP022477.1,prokaryote,3.26E-05,652.3100441
NZ_CP022479.1,prokaryote,0.001816229,36324.57262
NZ_CP022489.1,prokaryote,1.00E-05,199.9086224
NZ_CP022490.1,prokaryote,2.88E-06,57.68728281
NZ_CP022491.1,prokaryote,1.87E-06,37.49673383
NZ_CP022494.1,prokaryote,7.33E-06,146.6588228
NZ_CP022497.1,prokaryote,3.13E-06,62.56851443
NZ_CP022515.1,prokaryote,0.000481367,9627.341879
NZ_CP022521.1,prokaryote,4.43E-05,885.0560428
NZ_CP022524.1,prokaryote,4.73E-05,946.5151864
NZ_CP022525.1,prokaryote,6.16E-06,123.1401614
NZ_CP022526.1,prokaryote,6.30E-06,126.0245255
NZ_CP022527.1,prokaryote,7.72E-05,1543.578564
NZ_CP022528.1,prokaryote,6.02E-05,1204.55484
NZ_CP022529.1,prokaryote,0.000136087,2721.730378
NZ_CP022530.1,prokaryote,9.43E-05,1886.374148
NZ_CP022531.1,prokaryote,1.93E-05,386.5047948
NZ_CP022532.1,prokaryote,2.72E-05,543.8135776
NZ_CP022535.1,prokaryote,0.000192032,3840.64179
NZ_CP022537.1,prokaryote,2.06E-05,411.1328271
NZ_CP022540.1,prokaryote,8.05E-05,1610.140813
NZ_CP022544.1,prokaryote,2.16E-05,432.8764953
NZ_CP022547.1,prokaryote,1.82E-05,364.3173784
NZ_CP022548.1,prokaryote,0.000104015,2080.292168
NZ_CP022550.1,prokaryote,4.79E-05,957.8307688
NZ_CP022552.1,prokaryote,2.32E-05,464.826375
NZ_CP022553.1,prokaryote,2.01E-06,40.1592238
NZ_CP022556.1,prokaryote,1.01E-05,201.6836157
NZ_CP022559.1,prokaryote,6.61E-06,132.2370021
NZ_CP022564.1,prokaryote,4.09E-05,818.9375418
NZ_CP022571.1,prokaryote,8.83E-05,1765.00898
NZ_CP022573.1,prokaryote,2.83E-06,56.57791199
NZ_CP022603.1,prokaryote,7.39E-05,1477.016314
NZ_CP022604.1,prokaryote,7.52E-05,1504.528711
NZ_CP022606.1,prokaryote,2.24E-05,447.9639384
NZ_CP022614.1,prokaryote,1.64E-05,327.0425187
NZ_CP022653.1,prokaryote,0.00010326,2065.204725
NZ_CP022654.2,prokaryote,2.22E-05,443.9702035
NZ_CP022657.1,prokaryote,0.000137595,2751.905264
NZ_CP022658.1,prokaryote,8.79E-06,175.7243384
NZ_CP022663.1,prokaryote,1.48E-05,296.8676323
NZ_CP022665.1,prokaryote,4.41E-05,882.8373012
NZ_CP022685.1,prokaryote,5.96E-05,1191.24239
NZ_CP022689.1,prokaryote,2.80E-06,55.91228949
NZ_CP022691.1,prokaryote,5.04E-06,100.7308708
NZ_CP022695.1,prokaryote,0.00013724,2744.805291
NZ_CP022699.1,prokaryote,9.07E-05,1814.265044
NZ_CP022709.1,prokaryote,2.15E-05,430.8796278
NZ_CP022714.1,prokaryote,0.000135632,2712.633537
NZ_CP022736.1,prokaryote,0.000130373,2607.465183
NZ_CP022741.1,prokaryote,4.82E-05,964.0432454
NZ_CP022742.1,prokaryote,2.72E-05,543.1479551
NZ_CP022743.1,prokaryote,0.000309392,6187.848578
NZ_CP022745.1,prokaryote,5.00E-05,999.3212376
NZ_CP022746.1,prokaryote,1.72E-05,344.7924519
NZ_CP022752.1,prokaryote,6.17E-05,1233.398481
NZ_CP022753.1,prokaryote,6.19E-05,1238.057839
NZ_CP022754.1,prokaryote,0.015524602,310492.0373
NZ_CP022823.1,prokaryote,4.64E-05,928.5433791
NZ_CP022827.1,prokaryote,1.83E-06,36.60923717
NZ_CP022828.1,prokaryote,9.76E-07,19.52492649
NZ_CP022874.1,prokaryote,2.90E-05,580.6446889
NZ_CP022875.1,prokaryote,1.22E-06,24.40615811
NZ_CP022876.1,prokaryote,8.65E-07,17.30618484
NZ_CP022877.1,prokaryote,1.86E-06,37.27485966
NZ_CP022878.1,prokaryote,1.63E-06,32.6155022
NZ_CP022879.1,prokaryote,1.97E-06,39.49360131
NZ_CP022880.1,prokaryote,1.55E-06,31.06238305
NZ_CP022882.1,prokaryote,2.25E-06,45.04045543
NZ_CP022889.1,prokaryote,4.29E-05,857.5436464
NZ_CP022890.1,prokaryote,1.27E-05,253.6021702
NZ_CP022891.1,prokaryote,1.63E-05,325.7112737
NZ_CP022912.1,prokaryote,4.33E-06,86.53092422
NZ_CP022915.1,prokaryote,2.57E-05,514.3043137
NZ_CP022930.1,prokaryote,0.000100576,2011.511177
NZ_CP022957.1,prokaryote,0.000276222,5524.444826
NZ_CP022961.1,prokaryote,4.99E-05,997.3243701
NZ_CP022983.1,prokaryote,0.000267946,5358.926699
NZ_CP022988.1,prokaryote,2.06E-05,411.1328271
NZ_CP022989.1,prokaryote,6.08E-05,1216.092296
NZ_CP022990.1,prokaryote,5.27E-05,1054.789779
NZ_CP022997.1,prokaryote,2.66E-06,53.24979952
NZ_CP022998.1,prokaryote,7.98E-05,1596.828363
NZ_CP023001.1,prokaryote,2.49E-05,497.8856255
NZ_CP023011.2,prokaryote,0.000132614,2652.283764
NZ_CP023019.1,prokaryote,0.000150597,3011.941785
NZ_CP023043.1,prokaryote,3.95E-05,790.981397
NZ_CP023044.1,prokaryote,3.93E-05,785.6564171
NZ_CP023046.1,prokaryote,4.34E-05,868.8592288
NZ_CP023047.1,prokaryote,3.93E-05,785.6564171
NZ_CP023049.2,prokaryote,0.000370397,7407.93461
NZ_CP023050.1,prokaryote,8.90E-06,177.9430801
NZ_CP023052.1,prokaryote,8.11E-06,162.1900144
NZ_CP023054.1,prokaryote,3.75E-05,750.600299
NZ_CP023055.1,prokaryote,1.72E-05,343.2393327
NZ_CP023063.1,prokaryote,3.16E-05,632.7851176
NZ_CP023067.1,prokaryote,6.02E-05,1204.111092
NZ_CP023070.1,prokaryote,6.77E-05,1353.432404
NZ_CP023074.1,prokaryote,0.000156965,3139.297556
NZ_CP023139.1,prokaryote,1.69E-05,338.5799753
NZ_CP023141.1,prokaryote,6.01E-05,1201.004853
NZ_CP023142.1,prokaryote,1.76E-05,351.4486768
NZ_CP023146.1,prokaryote,1.63E-05,325.0456512
NZ_CP023147.1,prokaryote,3.48E-05,695.1317579
NZ_CP023149.1,prokaryote,1.47E-05,294.2051423
NZ_CP023151.1,prokaryote,0.000158163,3163.259966
NZ_CP023155.1,prokaryote,7.53E-06,150.6525578
NZ_CP023159.1,prokaryote,6.78E-06,135.5651146
NZ_CP023166.1,prokaryote,3.32E-06,66.34037523
NZ_CP023168.1,prokaryote,7.27E-05,1453.053904
NZ_CP023173.1,prokaryote,7.43E-05,1486.778777
NZ_CP023174.1,prokaryote,1.20E-05,240.5115945
NZ_CP023179.1,prokaryote,0.000126823,2536.46545
NZ_CP023184.1,prokaryote,6.34E-05,1268.232725
NZ_CP023185.1,prokaryote,2.94E-05,587.3009139
NZ_CP023202.1,prokaryote,4.81E-05,961.8245038
NZ_CP023208.1,prokaryote,2.98E-05,596.6196288
NZ_CP023209.1,prokaryote,1.15E-05,229.6397604
NZ_CP023257.1,prokaryote,3.78E-05,755.7034048
NZ_CP023268.1,prokaryote,9.65E-05,1929.63961
NZ_CP023269.1,prokaryote,7.71E-05,1542.247319
NZ_CP023270.1,prokaryote,8.04E-05,1607.478323
NZ_CP023271.1,prokaryote,7.31E-05,1461.263248
NZ_CP023272.1,prokaryote,4.98E-05,995.9931252
NZ_CP023275.1,prokaryote,0.000115885,2317.697524
NZ_CP023284.1,prokaryote,9.90E-05,1980.005045
NZ_CP023298.1,prokaryote,4.53E-05,906.1340885
NZ_CP023299.1,prokaryote,3.27E-05,654.3069116
NZ_CP023310.1,prokaryote,6.78E-05,1356.094894
NZ_CP023311.1,prokaryote,1.29E-05,258.0396535
NZ_CP023313.2,prokaryote,2.54E-05,507.6480887
NZ_CP023314.2,prokaryote,2.83E-05,565.1134974
NZ_CP023315.2,prokaryote,4.07E-05,814.5000585
NZ_CP023320.1,prokaryote,4.15E-05,830.4749983
NZ_CP023344.1,prokaryote,0.000105468,2109.357683
NZ_CP023346.1,prokaryote,1.86E-05,372.0829741
NZ_CP023349.1,prokaryote,1.06E-05,212.5554497
NZ_CP023353.1,prokaryote,1.19E-05,238.2928528
NZ_CP023357.1,prokaryote,5.97E-06,119.3683006
NZ_CP023359.1,prokaryote,3.51E-06,70.11223603
NZ_CP023364.1,prokaryote,7.04E-06,140.8900946
NZ_CP023366.1,prokaryote,4.61E-06,92.2996525
NZ_CP023371.1,prokaryote,4.84E-06,96.73713579
NZ_CP023377.1,prokaryote,6.42E-06,128.4651413
NZ_CP023383.1,prokaryote,3.04E-06,60.79352112
NZ_CP023386.1,prokaryote,2.08E-05,416.0140587
NZ_CP023388.1,prokaryote,1.14E-05,228.9741379
NZ_CP023390.1,prokaryote,3.22E-06,64.34350775
NZ_CP023391.1,prokaryote,3.25E-06,65.00913025
NZ_CP023392.1,prokaryote,0.00016351,3270.203313
NZ_CP023395.1,prokaryote,1.99E-06,39.71547547
NZ_CP023401.1,prokaryote,5.94E-05,1187.026781
NZ_CP023402.1,prokaryote,5.88E-05,1175.933073
NZ_CP023403.1,prokaryote,5.84E-05,1167.501854
NZ_CP023404.1,prokaryote,5.53E-05,1105.377088
NZ_CP023406.1,prokaryote,3.52E-05,703.5629761
NZ_CP023410.1,prokaryote,0.000163543,3270.868935
NZ_CP023415.1,prokaryote,0.000119146,2382.928528
NZ_CP023422.1,prokaryote,0.00010316,2063.207857
NZ_CP023423.1,prokaryote,1.29E-05,257.374031
NZ_CP023429.1,prokaryote,0.000114332,2286.635141
NZ_CP023431.1,prokaryote,1.25E-05,250.9396802
NZ_CP023435.1,prokaryote,4.41E-05,881.9498045
NZ_CP023439.1,prokaryote,5.79E-05,1157.739391
NZ_CP023445.1,prokaryote,5.18E-05,1036.596097
NZ_CP023448.1,prokaryote,2.94E-05,588.854033
NZ_CP023449.1,prokaryote,7.37E-05,1474.575698
NZ_CP023454.1,prokaryote,6.97E-05,1393.591628
NZ_CP023464.1,prokaryote,0.000104192,2083.842154
NZ_CP023465.1,prokaryote,4.26E-05,851.553044
NZ_CP023466.1,prokaryote,7.54E-05,1508.522446
NZ_CP023481.1,prokaryote,0.00013947,2789.401998
NZ_CP023483.1,prokaryote,9.00E-05,1799.177601
NZ_CP023497.1,prokaryote,0.000103637,2072.748446
NZ_CP023498.1,prokaryote,1.27E-05,253.8240444
NZ_CP023499.1,prokaryote,1.67E-05,333.0331212
NZ_CP023500.1,prokaryote,3.51E-06,70.11223603
NZ_CP023501.1,prokaryote,8.12E-05,1623.675137
NZ_CP023504.1,prokaryote,0.00010671,2134.20759
NZ_CP023505.1,prokaryote,7.08E-05,1415.779045
NZ_CP023507.1,prokaryote,7.05E-05,1410.232191
NZ_CP023508.1,prokaryote,4.70E-06,94.07464582
NZ_CP023510.1,prokaryote,4.46E-05,892.8216386
NZ_CP023511.1,prokaryote,8.40E-05,1680.253049
NZ_CP023512.1,prokaryote,6.59E-06,131.7932538
NZ_CP023515.1,prokaryote,0.000132947,2658.939989
NZ_CP023516.1,prokaryote,2.96E-05,592.4040196
NZ_CP023518.1,prokaryote,9.90E-06,197.9117549
NZ_CP023520.1,prokaryote,6.81E-06,136.2307371
NZ_CP023521.1,prokaryote,1.34E-05,267.8021167
NZ_CP023522.1,prokaryote,2.77E-05,554.6854116
NZ_CP023523.1,prokaryote,2.69E-05,537.1573526
NZ_CP023525.1,prokaryote,0.000126025,2520.490511
NZ_CP023527.1,prokaryote,4.45E-05,889.0497778
NZ_CP023529.1,prokaryote,9.51E-05,1902.349088
NZ_CP023531.1,prokaryote,7.08E-06,141.5557171
NZ_CP023535.1,prokaryote,8.87E-06,177.4993317
NZ_CP023536.1,prokaryote,0.00015671,3134.19445
NZ_CP023537.1,prokaryote,2.23E-05,445.3014485
NZ_CP023538.1,prokaryote,1.11E-05,221.8741647
NZ_CP023539.1,prokaryote,7.27E-05,1454.828898
NZ_CP023541.1,prokaryote,6.37E-06,127.3557705
NZ_CP023543.1,prokaryote,9.17E-06,183.4899342
NZ_CP023545.1,prokaryote,2.08E-05,416.4578071
NZ_CP023548.1,prokaryote,3.78E-05,755.7034048
NZ_CP023558.1,prokaryote,0.000125093,2501.853081
NZ_CP023563.1,prokaryote,2.48E-05,495.2231355
NZ_CP023564.1,prokaryote,2.63E-05,526.9511411
NZ_CP023573.1,prokaryote,6.88E-07,13.75619821
NZ_CP023574.1,prokaryote,6.21E-07,12.42495322
NZ_CP023575.1,prokaryote,7.77E-07,15.53119153
NZ_CP023576.1,prokaryote,9.32E-07,18.63742983
NZ_CP023577.1,prokaryote,1.10E-06,21.9655423
NZ_CP023578.1,prokaryote,5.88E-07,11.75933073
NZ_CP023579.1,prokaryote,8.65E-07,17.30618484
NZ_CP023580.1,prokaryote,6.21E-07,12.42495322
NZ_CP023581.1,prokaryote,5.32E-07,10.6499599
NZ_CP023582.1,prokaryote,6.43E-07,12.86870155
NZ_CP023583.1,prokaryote,5.55E-07,11.09370823
NZ_CP023584.1,prokaryote,8.21E-07,16.41868818
NZ_CP023585.1,prokaryote,5.77E-07,11.53745656
NZ_CP023586.1,prokaryote,5.10E-07,10.20621157
NZ_CP023587.1,prokaryote,9.98E-07,19.96867482
NZ_CP023588.1,prokaryote,5.88E-07,11.75933073
NZ_CP023589.1,prokaryote,8.87E-07,17.74993317
NZ_CP023590.1,prokaryote,5.77E-07,11.53745656
NZ_CP023591.1,prokaryote,6.66E-07,13.31244988
NZ_CP023592.1,prokaryote,7.43E-07,14.86556903
NZ_CP023593.1,prokaryote,6.43E-07,12.86870155
NZ_CP023594.1,prokaryote,5.99E-07,11.98120489
NZ_CP023595.1,prokaryote,6.55E-07,13.09057571
NZ_CP023596.1,prokaryote,4.77E-07,9.54058908
NZ_CP023597.1,prokaryote,6.77E-07,13.53432404
NZ_CP023598.1,prokaryote,6.43E-07,12.86870155
NZ_CP023599.1,prokaryote,4.88E-07,9.762463245
NZ_CP023600.1,prokaryote,6.66E-07,13.31244988
NZ_CP023601.1,prokaryote,7.10E-07,14.19994654
NZ_CP023602.1,prokaryote,6.88E-07,13.75619821
NZ_CP023603.1,prokaryote,9.98E-07,19.96867482
NZ_CP023604.1,prokaryote,5.21E-07,10.42808574
NZ_CP023605.1,prokaryote,5.88E-07,11.75933073
NZ_CP023606.1,prokaryote,4.99E-07,9.98433741
NZ_CP023607.1,prokaryote,6.88E-07,13.75619821
NZ_CP023608.1,prokaryote,8.65E-07,17.30618484
NZ_CP023609.1,prokaryote,4.22E-07,8.431218257
NZ_CP023610.1,prokaryote,6.21E-07,12.42495322
NZ_CP023611.1,prokaryote,6.21E-07,12.42495322
NZ_CP023612.1,prokaryote,7.77E-07,15.53119153
NZ_CP023613.1,prokaryote,7.10E-07,14.19994654
NZ_CP023614.1,prokaryote,7.65E-07,15.30931736
NZ_CP023615.1,prokaryote,6.77E-07,13.53432404
NZ_CP023616.1,prokaryote,6.32E-07,12.64682739
NZ_CP023617.1,prokaryote,7.54E-07,15.0874432
NZ_CP023618.1,prokaryote,9.54E-07,19.08117816
NZ_CP023619.1,prokaryote,7.21E-07,14.4218207
NZ_CP023620.1,prokaryote,6.99E-07,13.97807237
NZ_CP023621.1,prokaryote,8.21E-07,16.41868818
NZ_CP023622.1,prokaryote,6.99E-07,13.97807237
NZ_CP023623.1,prokaryote,5.99E-07,11.98120489
NZ_CP023624.1,prokaryote,5.99E-07,11.98120489
NZ_CP023625.1,prokaryote,6.55E-07,13.09057571
NZ_CP023626.1,prokaryote,6.77E-07,13.53432404
NZ_CP023627.1,prokaryote,7.65E-07,15.30931736
NZ_CP023628.1,prokaryote,8.87E-07,17.74993317
NZ_CP023629.1,prokaryote,7.21E-07,14.4218207
NZ_CP023630.1,prokaryote,6.99E-07,13.97807237
NZ_CP023631.1,prokaryote,1.28E-06,25.51552894
NZ_CP023632.1,prokaryote,8.32E-07,16.64056235
NZ_CP023633.1,prokaryote,7.99E-07,15.97493986
NZ_CP023634.1,prokaryote,4.99E-07,9.98433741
NZ_CP023635.1,prokaryote,5.88E-07,11.75933073
NZ_CP023636.1,prokaryote,6.32E-07,12.64682739
NZ_CP023637.1,prokaryote,7.32E-07,14.64369487
NZ_CP023638.1,prokaryote,7.43E-07,14.86556903
NZ_CP023639.1,prokaryote,7.10E-07,14.19994654
NZ_CP023640.1,prokaryote,8.54E-07,17.08431068
NZ_CP023641.1,prokaryote,6.07E-05,1214.317303
NZ_CP023643.1,prokaryote,8.68E-05,1736.387213
NZ_CP023656.1,prokaryote,8.04E-05,1608.143945
NZ_CP023657.1,prokaryote,4.25E-05,850.4436731
NZ_CP023663.1,prokaryote,2.06E-05,411.5765754
NZ_CP023664.1,prokaryote,0.000116495,2329.900603
NZ_CP023667.1,prokaryote,7.48E-05,1495.209996
NZ_CP023668.1,prokaryote,7.24E-05,1448.616421
NZ_CP023669.1,prokaryote,0.000118248,2364.956721
NZ_CP023687.1,prokaryote,5.99E-05,1197.011118
NZ_CP023705.1,prokaryote,2.14E-05,428.439012
NZ_CP023706.1,prokaryote,6.44E-05,1287.313903
NZ_CP023720.1,prokaryote,4.08E-05,816.0531776
NZ_CP023729.1,prokaryote,3.57E-05,714.4348102
NZ_CP023735.1,prokaryote,2.76E-05,552.46667
NZ_CP023736.1,prokaryote,2.39E-05,477.4732023
NZ_CP023737.1,prokaryote,5.83E-05,1165.061239
NZ_CP023741.1,prokaryote,8.28E-05,1656.068765
NZ_CP023746.1,prokaryote,0.000266593,5331.858051
NZ_CP023748.1,prokaryote,2.08E-05,415.1265621
NZ_CP023752.1,prokaryote,7.97E-06,159.3056502
NZ_CP023754.1,prokaryote,7.31E-06,146.2150745
NZ_CP023769.1,prokaryote,1.27E-05,254.9334152
NZ_CP023772.1,prokaryote,7.57E-06,151.3181803
NZ_CP023777.1,prokaryote,0.000343361,6867.22727
NZ_CP023778.1,prokaryote,8.76E-05,1751.918404
NZ_CP023814.1,prokaryote,7.52E-06,150.4306836
NZ_CP023815.1,prokaryote,6.21E-06,124.2495322
NZ_CP023817.1,prokaryote,7.12E-05,1423.100892
NZ_CP023818.1,prokaryote,0.000194506,3890.119729
NZ_CP023819.1,prokaryote,0.000916684,18333.6841
NZ_CP023859.1,prokaryote,1.99E-05,398.0422514
NZ_CP023866.1,prokaryote,3.35E-05,670.5037256
NZ_CP023867.1,prokaryote,5.58E-06,111.6027048
NZ_CP023899.1,prokaryote,2.63E-06,52.58417702
NZ_CP023913.1,prokaryote,2.66E-06,53.24979952
NZ_CP023941.1,prokaryote,2.04E-06,40.8248463
NZ_CP023946.1,prokaryote,3.18E-06,63.67788526
NZ_CP023956.1,prokaryote,0.000122907,2458.14387
NZ_CP023960.1,prokaryote,5.52E-06,110.493334
NZ_CP023962.1,prokaryote,0.000173029,3460.571346
NZ_CP023963.1,prokaryote,3.65E-05,729.9660017
NZ_CP023964.1,prokaryote,0.000145794,2915.870272
NZ_CP023965.1,prokaryote,0.00025825,5165.008679
NZ_CP023966.1,prokaryote,8.94E-05,1787.640145
NZ_CP023968.1,prokaryote,0.000412386,8247.728323
NZ_CP023969.1,prokaryote,7.92E-05,1583.959662
NZ_CP023970.1,prokaryote,7.18E-05,1435.303971
NZ_CP023972.1,prokaryote,2.97E-05,594.6227613
NZ_CP023973.1,prokaryote,1.36E-06,27.29052225
NZ_CP023974.1,prokaryote,2.58E-06,51.69668037
NZ_CP023992.1,prokaryote,4.57E-05,914.5653067
NZ_CP024011.1,prokaryote,0.000153493,3069.850942
NZ_CP024014.1,prokaryote,0.000109717,2194.335488
NZ_CP024028.1,prokaryote,6.44E-05,1288.423274
NZ_CP024034.1,prokaryote,0.000116428,2328.569358
NZ_CP024035.1,prokaryote,0.00017172,3434.390195
NZ_CP024049.1,prokaryote,0.000100054,2001.083091
NZ_CP024050.1,prokaryote,3.96E-05,792.9782645
NZ_CP024071.1,prokaryote,1.42E-05,283.7770566
NZ_CP024072.1,prokaryote,1.44E-05,287.5489174
NZ_CP024073.1,prokaryote,1.38E-05,276.0114608
NZ_CP024075.1,prokaryote,1.49E-05,297.3113806
