NCBI accession number,name of the virus,genus of host,family of host,order of host,class of host,phylum of host,domain of host
NC_016166,Gordonia phage GTE7,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_016434,Gordonia phage GTE5,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_016435,Gordonia phage GRU1,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_016562,Campylobacter phage CPX,Campylobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,bacteria
NC_016563,Bacillus phage W.Ph.,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_016564,Planktothrix phage PaV-LD,Planktothrix,,Oscillatoriales,,Cyanobacteria,bacteria
NC_016565,Staphylococcus phage S24-1,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_016566,Shigella phage EP23,Shigella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_016567,Vibrio phage SIO-2,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_016568,Helicobacter phage phiHP33,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,bacteria
NC_016569,Nocardia phage NBR1,Nocardia,Nocardiaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_016570,Escherichia phage Cba120,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_016571,Pseudomonas phage OBP,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_016650,Rhodococcus phage RGL3,Rhodococcus,Nocardiaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_016651,Rhodococcus phage RRH1,Rhodococcus,Nocardiaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_016652,Rhodococcus phage REQ2,Rhodococcus,Nocardiaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_016653,Rhodococcus phage RER2,Rhodococcus,Nocardiaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_016654,Rhodococcus phage REQ3,Rhodococcus,Nocardiaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_016655,Rhodococcus phage REQ1,Rhodococcus,Nocardiaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_016656,Cyanophage P-SSP2,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_016657,Cyanophage 9515-10a,Prochlorococcus,Prochlorococcaceae,Prochlorales,,Cyanobacteria,bacteria
NC_016658,Cyanophage NATL1A-7,Prochlorococcus,Prochlorococcaceae,Prochlorales,,Cyanobacteria,bacteria
NC_016659,Cyanophage NATL2A-133,Prochlorococcus,Prochlorococcaceae,Prochlorales,,Cyanobacteria,bacteria
NC_016761,Salmonella phage SPN1S,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_016762,Pseudomonas phage phi297,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_016763,Salmonella phage SE2,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_016764,Pseudomonas phage Bf7,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_016765,Pseudomonas phage PMG1,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_016766,Synechococcus phage S-CBS4,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_016767,Erwinia phage PEp14,Erwinia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_016770,Bacteroides phage B124-14,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,bacteria
NC_016899,Thermococcus prieurii virus 1,Thermococcus,Thermococcaceae,Thermococcales,Thermococci,Euryarchaeota,archaea
NC_017087,Halorubrum pleomorphic virus 2,Halorubrum,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,archaea
NC_017088,Halorubrum pleomorphic virus 3,Halorubrum,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,archaea
NC_017089,Halorubrum pleomorphic virus 6,Halorubrum,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,archaea
NC_017090,Halogeometricum pleomorphic virus 1,Halogeometricum,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,archaea
NC_017674,Pseudomonas phage JG024,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_017688,Lactococcus Phage ASCC191,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_017732,Enterococcus phage EF62phi,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_017864,Pseudomonas phage vB_Pae-Kakheti25,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_017865,Pseudomonas phage vB_Pae-TbilisiM32,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_017968,Staphylococcus phage TEM123,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_017969,Escherichia phage Akfv33,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_017971,Pseudomonas phage tf,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_017972,Pseudomonas phage Lu11,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_017973,Mycobacterium phage SWU1,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_017974,Cronobacter phage CR3,Cronobacter,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_017975,Halocynthia phage JM-2012,NA,NA,NA,NA,NA,bacteria
NC_017976,Bacillus phage PBC1,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_017978,Clostridium phage PhiS63,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,bacteria
NC_017980,Clostridium phage phiCP7R,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,bacteria
NC_017981,Xanthomonas phage vB_XveM_DIBBI,Xanthomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_017983,Salisaeta icosahedral phage 1,Salisaeta,Rhodothermaceae,Bacteroidetes Order II. Incertae sedis,,Bacteroidetes,bacteria
NC_017984,Acinetobacter bacteriophage AP22,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_017985,Salmonella phage SPN9CC,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_018083,Clostridium phage phiCPV4,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,bacteria
NC_018084,Clostridium phage phiZP2,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,bacteria
NC_018085,Bacillus phage BtCS33,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_018086,Enterococcus phage BC611,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_018087,Acinetobacter phage ZZ1,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_018088,Colwellia phage 9A,Colwellia,Colwelliaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_018264,Thermoanaerobacterium phage THSA-485A,Thermoanaerobacterium,Thermoanaerobacterales Family III. Incertae Sedis,Thermoanaerobacterales,Clostridia,Firmicutes,bacteria
NC_018269,Marinomonas phage P12026,Marinomonas,Oceanospirillaceae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,bacteria
NC_018270,Weissella phage phiYS61,Weissella,Leuconostocaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_018271,Persicivirga phage P12024S,Persicivirga,NA,NA,NA,NA,bacteria
NC_018272,Persicivirga phage P12024L,Persicivirga,NA,NA,NA,NA,bacteria
NC_018273,Leuconostoc phage Lmd1,Leuconostoc,Leuconostocaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_018274,Pseudomonas phage MP42,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_018275,Salmonella phage vB_SemP_Emek,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_018276,Croceibacter phage P2559S,Croceibacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,bacteria
NC_018277,Staphylococcus phage SpaA1,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_018278,Burkholderia phage KL1,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_018279,Salmonella phage vB_SosS_Oslo,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_018280,Celeribacter phage P12053L,Celeribacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,bacteria
NC_018281,Staphylococcus phage Ipla5,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_018282,Pseudomonas phage MP1412,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_018283,Burkholderia phage AH2,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_018284,Staphylococcus phage Ipla7,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_018285,Streptococcus phage YMC-2011,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_018452,Burkholderia phage DC1,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_018454,Cronobacter phage phiES15,Cronobacter,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_018831,Listeria phage P70,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_018832,Providencia phage Redjac,Providencia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_018834,Propionibacterium phage P9.1,Propionibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,bacteria
NC_018835,Enterobacteria phage NJ01,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_018836,Streptomyces phage phiHau3,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,bacteria
NC_018837,Pectobacterium phage My1,NA,NA,NA,NA,NA,bacteria
NC_018838,Propionibacterium phage P100_A,Propionibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,bacteria
NC_018839,Propionibacterium phage P14.4,Propionibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,bacteria
NC_018840,Propionibacterium phage P100_1,Propionibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,bacteria
NC_018841,Propionibacterium phage P101A,Propionibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,bacteria
NC_018842,Propionibacterium phage P1.1,Propionibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,bacteria
NC_018843,Salmonella phage SSU5,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_018845,Propionibacterium phage P104A,Propionibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,bacteria
NC_018846,Escherichia phage P13374,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_018847,Propionibacterium phage ATCC29399B_T,Propionibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,bacteria
NC_018848,Streptomyces phage SV1,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,bacteria
NC_018849,Propionibacterium phage P105,Propionibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,bacteria
NC_018850,Pseudomonas phage UFV-P2,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_018851,Propionibacterium phage ATCC29399B_C,Propionibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,bacteria
NC_018852,Propionibacterium phage P100D,Propionibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,bacteria
NC_018853,Streptomyce phage TG1,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,bacteria
NC_018854,Escherichia phage ECBP1,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_018855,Enterobacteria phage HX01,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_018856,Bacillus phage Bastille,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_018857,Bacillus phage BPS13,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_018859,Escherichia phage ECBP2,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_018860,Bacillus phage BCP78,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_018861,Campylobacter phage CP30A,Campylobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,bacteria
NC_018863,Bacillus phage B4,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_019398,Cronobacter phage vB_CsaM_GAP161,Cronobacter,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019399,Enterobacteria phage vB_EcoM_ACG-C40,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019400,Cronobacter phage vB_CsaM_GAP31,Cronobacter,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019401,Cronobacter phage vB_CsaM_GAP32,Cronobacter,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019402,Cronobacter phage vB_CsaP_GAP52,Cronobacter,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019403,Enterobacteria phage vB_EcoP_ACG-C91,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019404,Enterobacteria phage vB_EcoS_ACG-M12,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019405,Caulobacter phage phiCbK,Caulobacter,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Proteobacteria,bacteria
NC_019406,Caulobacter phage CcrColossus,Caulobacter,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Proteobacteria,bacteria
NC_019407,Caulobacter phage magneto,Caulobacter,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Proteobacteria,bacteria
NC_019408,Caulobacter phage rogue,Caulobacter,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Proteobacteria,bacteria
NC_019410,Caulobacter phage karma,Caulobacter,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Proteobacteria,bacteria
NC_019411,Caulobacter phage swift,Caulobacter,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Proteobacteria,bacteria
NC_019413,Sulfolobales Mexican rudivirus 1,NA,NA,NA,NA,NA,archaea
NC_019414,Streptomyces phage R4,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,bacteria
NC_019416,Stenotrophomonas phage IME15,Stenotrophomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019417,Salmonella phage SPN19,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019418,Streptococcus phage phiNJ2,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_019419,Enterobacteria phage JL1,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019420,Edwardsiella phage KF-1,NA,NA,NA,NA,NA,bacteria
NC_019421,Clostridium phage phiMMP02,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,bacteria
NC_019422,Clostridium phage phiMMP04,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,bacteria
NC_019423,Enterobacter phage IME11,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019442,Escherichia phage TL-2011c,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019443,Synechococcus phage metaG-MbCM1,NA,NA,NA,NA,NA,bacteria
NC_019444,Synechococcus phage ACG-2014c,NA,NA,NA,NA,NA,bacteria
NC_019445,Escherichia phage TL-2011b,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019446,Brucella phage Tb,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,bacteria
NC_019447,Brucella phage Pr,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,bacteria
NC_019448,Staphylococcus phage GH15,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_019449,Lactobacillus phage c5,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_019450,Pseudomonas phage JG004,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019451,Pseudomonas phage NH-4,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019452,Escherichia phage PhaxI,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019453,Caulobacter phage phiCb5,Caulobacter,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Proteobacteria,bacteria
NC_019454,Pantoea phage LIMElight,Pantoea,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019455,Haemophilus phage SuMu,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019456,Lactobacillus phage JCL1032,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_019457,Vibrio phage CP-T1,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019485,Enterobacter phage EcP1,Enterobacter,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019486,Lactobacillus phage LF1,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_019487,Bacillus phage SP-10,NA,NA,NA,NA,NA,bacteria
NC_019488,Salmonella phage RE-2010,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019489,Lactobacillus phage Sha1,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_019490,Riemerella phage RAP44,Riemerella,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,bacteria
NC_019496,Clostridium phage phiCP26F,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,bacteria
NC_019500,Enterobacteria phage Bp7,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019501,Enterobacteria phage IME10,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019502,Bacillus phage phIS3501,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_019503,Enterobacteria phage ime09,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019504,Erwinia phage vB_EamM-Y2,Erwinia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019505,Escherichia phage wV7,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019506,Clostridium phage phiCP13O,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,bacteria
NC_019507,Campylobacter phage CP21,Campylobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,bacteria
NC_019508,Clostridium phage phiCP34O,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,bacteria
NC_019509,Cronobacter phage ESP2949-1,Cronobacter,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019510,Erwinia phage vB_EamP-L1,Erwinia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019511,Staphylococcus phage SA11,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_019512,Helicobacter phage 1961P,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,bacteria
NC_019513,Staphylococcus phage SMSAP5,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_019514,Erwinia phage vB_EamP-S6,Erwinia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019515,Bacillus phage BCD7,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_019516,Cyanophage S-TIM5,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_019517,Enterobacteria phage vB_EcoM-FV3,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019518,Vibrio phage vB_VchM-138,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019519,Agrobacterium phage 7-7-1,Agrobacterium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,bacteria
NC_019520,Escherichia phage phiKT,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019521,Sphingomonas phage PAU,Sphingomonas,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,bacteria
NC_019522,Pectobacterium phage ZF40,Pectobacterium,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019523,Clostridium phage phi24R,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,bacteria
NC_019524,Enterobacter phage Enc34,Enterobacter,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019525,Bdellovibrio phage phi1422,Bdellovibrio,Bdellovibrionaceae,Bdellovibrionales,Deltaproteobacteria,Proteobacteria,bacteria
NC_019526,Enterobacteria phage vB_KleM-RaK2,Klebsiella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019527,Aeromonas phage vB_AsaM-56,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019528,Aeromonas phage phiAS7,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019529,Vibrio phage pVp-1,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019530,Salmonella phage PhiSH19,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019538,Aeromonas phage CC2,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019539,Salmonella phage Ent1,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019540,Salinivibrio phage CW02,Salinivibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019541,Acinetobacter phage Bphi-B1251,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019542,Pectobacterium phage PP1,NA,NA,NA,NA,NA,bacteria
NC_019543,Aeromonas phage Aes508,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019544,Deep-sea thermophilic phage D6E,NA,NA,NA,NA,NA,bacteria
NC_019545,Salmonella phage SPN3UB,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019548,Ralstonia phage RSS0,Ralstonia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_019549,Liberibacter phage SC1,Liberibacter,NA,NA,NA,NA,bacteria
NC_019550,Liberibacter phage SC2,Liberibacter,NA,NA,NA,NA,bacteria
NC_019704,Enterobacteria phage mEp237,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019705,Enterobacteria phage mEpX2,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019706,Enterobacteria phage mEp043 c-1,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019707,Enterobacteria phage M,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019708,Enterobacteria phage mEp235,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019709,Enterobacteria phage mEpX1,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019710,Enterobacteria phage HK140,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019711,Enterobacteria phage HK629,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019713,Vibrio phage vB_VpaS_MAR10,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019714,Enterobacteria phage HK446,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019715,Enterobacterial phage mEp234,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019716,Enterobacteria phage mEp460,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019717,Enterobacteria phage HK225,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019718,Enterobacteria phage vB_EcoS_Rogue1,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
