NCBI accession number,name of the virus,name of the host,genus of host,family of host,order of host,class of host,phylum of host,domain of host
NC_029032,"Phormidium phage MIS-PhV1A, complete genome",Phormidium sp. MIS-PhA,Phormidium,Oscillatoriaceae,Oscillatoriales,NA,Cyanobacteria,Bacteria
NC_028998,"Phormidium phage MIS-PhV1B, complete genome",Phormidium sp. MIS-PhA,Phormidium,Oscillatoriaceae,Oscillatoriales,NA,Cyanobacteria,Bacteria
NC_028924,"Polaribacter phage P12002L, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_028763,"Polaribacter phage P12002S, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_028955,"Prochlorococcus phage P-TIM68, complete genome",Prochlorococcus sp. MIT9515,Prochlorococcus,Prochloraceae,Synechococcales,NA,Cyanobacteria,Bacteria
NC_028967,"Propionibacterium phage PAC1, complete genome",Propionibacterium acnes,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028812,"Proteus phage pPM_01, complete genome",Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028762,"Proteus phage vB_PmiM_Pm5461, complete genome",Proteus mirabilis 417,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028916,"Proteus phage vB_PmiP_Pm5460, complete genome",Proteus mirabilis 414,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028819,"Pseudoalteromonas Phage H103, complete genome",Pseudoalteromonas marina,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028919,"Pseudomonas phage DL54, complete genome",Pseudomonas aeruginosa PAO1,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028745,"Pseudomonas phage DL60, complete genome",Pseudomonas aeruginosa PAO1,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028836,"Pseudomonas phage DL62, complete genome",Pseudomonas aeruginosa PAO1,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028885,"Pseudomonas phage DL64, complete genome",Pseudomonas aeruginosa PAO1,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028971,"Pseudomonas phage DL68, complete genome",Pseudomonas aeruginosa PAO1,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028817,"Pseudomonas phage K8, complete genome",Pseudomonas aeruginosa PAK,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_029017,"Pseudomonas phage KPP21 DNA, complete genome",Pseduomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028980,"Pseudomonas phage PAE1, complete genome",Pseudomonas aeruginosa strain PAO9505,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028770,"Pseudomonas phage PaMx11, complete genome",Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028931,"Pseudomonas phage PaMx28, partial genome",Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028879,"Pseudomonas phage PaMx42, complete genome",Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028809,"Pseudomonas phage PaMx74, partial genome",Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028933,"Pseudomonas phage PhiCHU, complete genome",Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028999,"Pseudomonas phage PhiPA3, complete genome",Pseudomonas aeruginosa strain PAO1,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028882,"Pseudomonas phage vB_PaeM_PS24, complete genome",Pseudomonas aeruginosa PAER2_24,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028939,"Pseudomonas phage vB_Pae_PS44, complete genome",Pseudomonas aeruginosa PAER3_44,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028899,"Ralstonia phage RSF1 DNA, complete genome",Ralstonia solanacearum,Ralstonia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NC_028988,"Ralstonia phage RSJ2 DNA, complete genome",Ralstonia solanacearum,Ralstonia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NC_029007,"Ralstonia phage RSJ5 DNA, complete genome",Ralstonia solanacearum,Ralstonia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NC_028950,"Ralstonia phage RSL2 DNA, complete sequence",NA,NA,NA,NA,NA,NA,NA
NC_028954,"Rhodobacter phage RcRhea, complete genome",Rhodobacter capsulatus YW1,Rhodobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_029003,"Salmonella phage SEN1, complete genome",Salmonella enterica subsp. salamae 10/99 II,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_029015,"Salmonella phage SEN4, complete genome",Salmonella enterica subsp. salamae 200/01 II,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028754,"Salmonella phage Shivani, complete genome",Salmonella enterica serovar Typhimurium,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028945,"Sinorhizobium phage phiN3, complete genome",Sinorhizobium meliloti,Sinorhizobium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_028775,"Staphylococcus phage 23MRA, complete genome",Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028917,"Staphylococcus phage 3MRA, complete genome",Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028859,"Staphylococcus phage B166, complete genome",Staphylococcus aureus NRL 09/166,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028915,"Staphylococcus phage B236, complete genome",Staphylococcus aureus NRL 08/236,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_029025,"Staphylococcus phage IME-SA4, complete genome",Staphylococcus haemolyticus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_029010,"Staphylococcus phage SA97, complete genome",Staphylococcus aureus RN4220,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028821,"Staphylococcus phage StB20-like, complete genome",Staphylococcus epidermidis 36-1,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028962,"Staphylococcus phage phiIPLA-C1C, complete genome",Staphylococcus sp.,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028765,"Staphylococcus phage phiIPLA-RODI, complete genome",Staphylococcus sp.,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028862,"Staphylococcus phage vB_SauS_phi2, complete genome",Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028913,"Staphylococcus aureus phage phiNM2, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_028864,"Staphylococcus aureus phage phiNM4, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_029000,"Stenotrophomonas phage IME13, complete genome",Stenotrophomonas maltophilia,Stenotrophomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_029019,"Stenotrophomonas phage vB_SmaS-DLP_2, complete genome",Stenotrophomonas maltophilia D1585,Stenotrophomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_029030,"Streptococcus phage APCM01, complete genome",Streptococcus mutans DPC6143,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_028984,"Streptococcus phage M102AD, complete genome",Streptococcus mutans P42-SM,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_028904,"Streptomyces phage Amela, complete genome",Streptomyces venezuelae ATCC 10712,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,Bacteria
NC_028892,"Streptomyces phage Caliburn, complete genome",Streptomyces griseus ATCC 10137,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,Bacteria
NC_028976,"Streptomyces phage Izzy, complete genome",Streptomyces griseus ATCC 10137,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,Bacteria
NC_028827,"Streptomyces phage Lannister, complete genome",Streptomyces venezuelae ATCC 10712,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,Bacteria
NC_028807,"Streptomyces phage SF1, complete genome",Streptomyces flavovirens,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,Bacteria
NC_028952,"Streptomyces phage SF3, complete genome",Streptomyces flavovirens,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,Bacteria
NC_028818,"Streptomyces phage TP1604, complete genome",Streptomyces griseus subsp. griseus ATCC 10137,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,Bacteria
NC_028974,"Streptomyces phage YDN12, complete genome",Streptomyces griseus subsp. griseus ATCC 10137,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,Bacteria
NC_029005,"Streptomyces phage phiSAJS1, complete genome",Streptomyces avermitilis ATCC 31267,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,Bacteria
NC_029031,"Synechococcus phage S-CBP42, complete genome",Synechococcus sp. WH7803,Synechococcus,Synechococcaceae,Synechococcales,NA,Cyanobacteria,Bacteria
NC_028865,"Tsukamurella phage TIN2, complete genome",Tsukamurella inchonensis BEN701,Tsukamurella,Tsukamurellaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028966,"Tsukamurella phage TIN3, complete genome",Tsukamurella inchonensis strain BEN701,Tsukamurella,Tsukamurellaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028829,"Vibrio phage ValKK3, complete genome",Vibrio alginolyticus ATCC 17749,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028799,"Vibrio phage phi 1, complete genome",Vibrio cholerae 1051,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028895,"Vibrio phage phi 3, complete genome",Vibrio cholerae 1051,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028820,"Yersinia phage vB_YenM_TG1, complete genome",Yersinia enterocolitica,Yersinia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028850,"Yersinia phage vB_YenP_ISAO8, complete genome",Yersinia enterocolitica,Yersinia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028247,"Citrobacter phage Michonne, complete genome",Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028743,"Mannheimia phage vB_MhS_587AP2, complete genome",Mannheimia haemolytica 587A serotype A2,Mannheimia,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028742,"Mycobacterium phage Baee, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028744,"Mycobacterium phage LadyBird, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028675,"Acinetobacter phage phiAB1, complete genome",Acinetobacter baumannii M68316,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028684,"Acinetobacter phage vB_AbaP_PD-6A3, complete genome",Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028679,"Acinetobacter phage vB_AbaP_PD-AB9, complete genome",Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028692,"Arthrobacter phage Decurro, complete genome",Arthrobacter sp. ATCC 21022,Arthrobacter,Micrococcaceae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria
NC_028672,"Cronobacter phage PBES 02, complete genome",Cronobacter sp.,Cronobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028663,"Cyanophage P-TIM40, complete genome",Prochlorococcus sp. NATL2A,Prochlorococcus,Prochloraceae,Synechococcales,NA,Cyanobacteria,Bacteria
NC_028702,"Delftia phage IME-DE1, complete genome",Delftia sp. 670,Delftia,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NC_028683,"Edwardsiella phage PEi20 DNA, complete sequence",Edwardsiella ictaluri,Edwardsiella,Hafniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028695,"Enterobacter phage phiEap-2, complete genome",Enterobacter aerogenes 3-SP,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028656,"Enterobacteria phage VT2phi_272, complete sequence",Escherichia coli O157:H7 strain 71074,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028693,"Enterococcus phage vB_EfaP_IME195, complete genome",Enterococcus faecalis 2003,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_028671,"Enterococcus phage vB_EfaS_IME197, complete genome",Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_028660,"Escherichia phage phi191, complete genome",Escherichia coli O111:H2 strain ED 191,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028668,"Gordonia phage GMA3, complete genome",Gordonia malaquae BEN700,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028673,"Gordonia phage GMA7, complete genome",Gordonia malaquae CON60,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028665,"Gordonia phage GTE6, complete genome",Gordonia terrae strain CON34,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028653,"Gordonia phage GTE8, complete genome",Gordonia terrae strain G232,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028651,"Hydrogenobaculum phage 1 strain HP1, complete genome",Hydrogenobaculum,NA,Aquificaceae,Aquificales,Aquificae,Aquificae,Bacteria
NC_028686,"Klebsiella phage JD18, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_028664,"Klebsiella phage vB_Kp2, complete genome",Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028670,"Klebsiella phage vB_KpnP_KpV41, complete genome",Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028688,"Klebsiella phage vB_Kp1, complete genome",Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028659,"Klebsiella phage vB_KpnM_KB57, complete genome",Klebsiella pneumoniae M-9,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028691,"Mycobacterium phage Apizium, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028682,"Mycobacterium phage Badfish, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028678,"Mycobacterium phage Cabrinians, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028689,"Mycobacterium phage Colbert, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028690,"Mycobacterium phage Eremos, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028687,"Mycobacterium phage Iracema64, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028680,"Mycobacterium phage Pepe, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028662,"Mycobacterium phage Phlei, complete genome",Mycobacterium phlei,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028681,"Mycobacterium phage Pops, complete genome",Mycobacterium smegmatis mc2155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028674,"Mycobacterium phage ShiVal, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028654,"Mycobacterium phage Sparkdehlily, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028658,"Mycobacterium phage Swish, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028694,"Propionibacterium phage PA1-14, complete genome",Propionibacterium acnes A1-14,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028652,"Pseudomonas phage C11, complete genome",Pseudomonas aeruginosa clinical strain TJC422,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028661,"Pseudomonas phage PPPL-1, complete genome",Pseudomonas syringae pv. actinidiae KBE9,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028657,"Pseudomonas phage YMC11/02/R656, complete genome",Pseudomonas aeruginosa YMC11/02/R656,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028677,"Rhodococcus phage CosmicSans, complete genome",Rhodococcus erythropolis RIA 643,Rhodococcus,Nocardiaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028696,"Salmonella phage SEN22, complete genome",Salmonella enterica subsp. diarizonae 89/00 IIIb,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028699,"Salmonella phage SEN34, complete genome",Salmonella enterica subsp. diarizonae 519/03 IIIb,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028701,"Salmonella phage SEN5, complete genome",Salmonella enterica subsp. salamae 241/01 II,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028698,"Salmonella phage f18SE, complete genome",Salmonella enterica subsp. enteritidis,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028685,"Shigella phage Ss-VASD, complete genome",Shigella sonnei,Shigella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028676,"Sinorhizobium phage phiM9, complete genome",Sinorhizobium meliloti,Sinorhizobium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_028669,"Staphylococcus phage phiJB, complete genome",Staphylococcus aureus Jevons B,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028697,"Streptococcus phage A25, complete genome",Streptococcus pyogenes K56; Streptococcus,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_028666,"Streptococcus phage Str-PAP-1, complete genome",Streptococcus parauberis,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_028700,"Streptococcus phage T12, complete genome",Streptococcus pyogenes,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_028655,"Yersinia phage vB_YenP_AP10, complete genome",Yersinia enterocolitica 6471/76-c serotype O:3,Yersinia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028449,"Escherichia phage PA2, complete genome",Escherichia coli PA2,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028667,Pseudomonas phage vB_PaeS_PM105,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_029065,"Pseudomonas phage VCM genome assembly VCM, chromosome : 1",NA,NA,NA,NA,NA,NA,NA
NC_028840,"Escherichia phage slur09 genome assembly slu09, chromosome : 1",NA,NA,NA,NA,NA,NA,NA
NC_027983,"Enterobacteria phage AR1 DNA, complete genome",Escherichia coli O157:H7,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027995,"Escherichia phage vB_EcoM_ECO1230-10, complete genome",Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027987,"Leuconostoc phage 1-A4, complete genome",Leuconostoc mesenteroides 1-A4,Leuconostoc,Leuconostocaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_027986,"Pseudomonas phage JBD18, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_027992,"Pseudomonas phage JBD25, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_027988,"Citrobacter phage CVT22, complete genome",Citrobacter sp. TM1552,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027979,"Enterobacteria phage RB68, complete genome",Escherichia coli B,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027994,"Escherichia phage K1H, complete genome",Escherichia coli O18:K1:H7,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027993,"Escherichia phage K1G, complete genome",Escherichia coli O18:K1:H7,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027984,"Stx2 converting phage vB_EcoP_24B, complete genome",Escherichia coli O157:H7,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027990,"Lactobacillus phage LBR48, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_027982,"Lactobacillus phage phiPYB5, complete genome",Lactobacillus fermentum strain YB5,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_027985,"Mycobacterium phage UncleHowie, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027991,"Staphylococcus phage SA1, complete genome",Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028831,"Escherichia phage slur01, complete genome",Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028927,"Escherichia phage slur02, complete genome",Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028901,"Escherichia phage slur05, complete genome",Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028780,"Escherichia phage slur07, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_028448,"Escherichia phage slur14, complete genome",Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028248,"Escherichia phage slur16, complete genome",Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_029070,Cronobacter phage Dev-CD-23823 complete sequence,NA,NA,NA,NA,NA,NA,NA
NC_029001,Clostridium phage phiCDHM11 complete genome,NA,NA,NA,NA,NA,NA,NA
NC_027633,"Gokushovirinae Bog1183_53, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_027636,"Gokushovirinae Bog5712_52, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_027637,"Gokushovirinae Bog8989_22, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_027642,"Gokushovirinae Fen672_31, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_027645,"Gokushovirinae Fen7875_21, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_028977,"Klebsiella phage vB_KpnP_KpV289, complete genome",Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027634,"Microviridae Bog1249_12, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_027635,"Microviridae Bog5275_51, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_027638,"Microviridae Bog9017_22, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_027639,"Microviridae Fen2266_11, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_027640,"Microviridae Fen418_41, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_027641,"Microviridae Fen4707_41, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_027643,"Microviridae Fen685_11, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_027644,"Microviridae Fen7786_21, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_027646,"Microviridae Fen7895_21, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_027647,"Microviridae Fen7918_21, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_027648,"Microviridae Fen7940_21, complete genome",NA,NA,NA,NA,NA,NA,NA
